amplitude;eventtype;luminance;participant;erpcomponent;electrodes;time_window
-1.49727680512632;distractor;isolum__to_bckgrd;23;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
11.5232951830213;target;isolum__to_bckgrd;24;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
8.33350379822346;distractor;isolum__to_bckgrd;24;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
10.4580484345699;target;isolum__to_bckgrd;25;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
9.28037824950969;distractor;isolum__to_bckgrd;25;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
20.0501083995287;target;isolum__to_bckgrd;26;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
11.0741016663109;distractor;isolum__to_bckgrd;26;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
27.0614721499957;target;isolum__to_bckgrd;27;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
20.1121691688895;distractor;isolum__to_bckgrd;27;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
4.10084704096863;target;isolum__to_bckgrd;28;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
-1.09643686556956;distractor;isolum__to_bckgrd;28;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
11.444288475824;target;isolum__to_bckgrd;29;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
7.73332276496177;distractor;isolum__to_bckgrd;29;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
6.45624557545838;target;isolum__to_bckgrd;30;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
1.66355176700409;distractor;isolum__to_bckgrd;30;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
11.3408487180221;target;isolum__to_bckgrd;31;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
6.45458147790767;distractor;isolum__to_bckgrd;31;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
8.02537174276614;target;isolum__to_bckgrd;32;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
3.53479579540614;distractor;isolum__to_bckgrd;32;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
10.0043767770896;target;isolum__to_bckgrd;33;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
7.69372859100874;distractor;isolum__to_bckgrd;33;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
7.13966723191194;target;isolum__to_bckgrd;34;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
4.63415191261223;distractor;isolum__to_bckgrd;34;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
19.3890367529283;target;isolum__to_bckgrd;35;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
9.89143261512576;distractor;isolum__to_bckgrd;35;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
16.5083774465781;target;isolum__to_bckgrd;36;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
9.5888486833025;distractor;isolum__to_bckgrd;36;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
0.829538972643114;target;isolum__to_bckgrd;37;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
-0.581667632884301;distractor;isolum__to_bckgrd;37;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
27.5058061191096;target;isolum__to_bckgrd;38;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
18.2842624886678;distractor;isolum__to_bckgrd;38;P300;'P3','P1','Pz','P4','P2','POz','PO3','PO4';[450 650]ms
