amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subjects;condition;time;RDK_id;RDK_position1;RDK_position2;RDK_freq;RDK_color;RDK_colorlum;RDK_ispresented;RDK_isattended;RDK_isattended2;RDK_electrodes
4.55776240030924;0.616841630637646;0;0;1;6;[-1 0] ;RDK4;right;peri;17;blue;offset_to_bckgrd;not presented;attended;attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.56364018917084;0.340358044703801;0;0;1;6;[-1 0] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.97030631303787;1.40752533972263;3.21315316633022;38.510116705695;1;1;[0.5 1.5] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz','O1','O2'}
3.78819303512573;2.21480957269669;-5.14160467104861;-10.7345865140601;1;1;[0.5 1.5] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz','O1','O2'}
3.69566989739736;0.617771623531977;-6.76627811176875;-22.2525244264062;1;1;[0.5 1.5] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;attended;attended + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.58065991401672;1.24890062958002;-6.03957962954586;-1.36930496816688;1;1;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;not attended;not attended + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.47217887242635;0.394216300050418;1.24281807130857;-31.8047399435031;1;1;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;not presented;irrelevant;irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.94096391201019;1.30738609433174;2.26296487451545;23.9719574833696;1;2;[0.5 1.5] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz','O1','O2'}
4.13060662746429;2.82730857133865;4.41581571314951;19.0750110424736;1;2;[0.5 1.5] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz','O1','O2'}
3.75521596272786;0.48057672791183;-13.2491814631454;13.425373460146;1;2;[0.5 1.5] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;not attended;not attended + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.42517685095469;0.778984010716279;-9.5723102704167;-26.8178199347837;1;2;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;attended;attended + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.30297603607178;0.814041073123614;-4.85746687771107;113.745067453699;1;2;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;not presented;irrelevant;irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.96235318183899;1.18149783238769;9.00023293134022;14.8107690027041;1;3;[0.5 1.5] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz','O1','O2'}
3.63205559253693;2.33224684596062;-9.1607153101175;-4.65750998761486;1;3;[0.5 1.5] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz','O1','O2'}
3.76341082255046;0.825670172770818;-4.82557387663014;37.0810885473309;1;3;[0.5 1.5] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;attended;attended + irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.45709946950277;0.400875369956096;-7.05353594473709;-21.4964353338657;1;3;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;not presented;not attended;not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.51572496891022;0.410105816523234;-1.11437900263351;16.9323183426702;1;3;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.99207258224487;1.45026962161064;8.13105248903212;26.8493972467884;1;4;[0.5 1.5] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz','O1','O2'}
4.41093473434448;3.1093069255352;6.8817891694221;18.4803882811981;1;4;[0.5 1.5] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz','O1','O2'}
3.71185959974925;0.307520829389493;-5.91704520671214;-21.10527664269;1;4;[0.5 1.5] ;RDK3;right;peri;20;green;offset_to_bckgrd;not presented;not attended;not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.50414555867513;1.2688388645649;-11.3174792798238;-14.1882788534869;1;4;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;attended;attended + irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.37812365690867;0.727805949250857;-5.53938398937102;31.947946941741;1;4;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
2.7920804977417;1.4771539837122;-2.54318044771019;36.9395759198072;1;5;[0.5 1.5] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'Oz','Iz','O1','O2'}
3.5715803027153;2.03890227377415;-14.5131268014183;-23.8467817093723;1;5;[0.5 1.5] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'Oz','Iz','O1','O2'}
3.54840176105499;0.23160361337165;-9.26800403554454;-31.8603003110239;1;5;[0.5 1.5] ;RDK3;right;peri;20;green;offset_to_bckgrd;not presented;attended;attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
4.54540189107259;1.20510051250458;-7.91162895697548;-21.1435653237654;1;5;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;not attended;not attended + irrelevant;{'P7','P9','PO7','PO2','POz','Oz','O2'}
3.27037986119588;0.533601979414622;-5.9177258098044;-32.2626614943014;1;5;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + not attended;{'P7','P9','PO7','PO2','POz','Oz','O2'}
