amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subtraction_induced;subtraction_evoked;subjects;condition;time;RDK_id;RDK_position1;RDK_position2;RDK_freq;RDK_color;RDK_colorlum;RDK_ispresented;RDK_isattended;RDK_isattended2;RDK_electrodes
4.73072810173035;1.86903357505798;0;0;0;0;1;5;[-1 0] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;not attended;not attended + irrelevant;{'P7' 'P9' 'PO7'}
3.46344688733419;1.14071452220281;0;0;0;0;1;5;[-1 0] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + not attended;{'P7' 'P9' 'PO7'}
3.02115809000455;1.4558437526226;0;0;0;0;1;6;[-1 0] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.8130662551293;2.27255121836295;0;0;0;0;1;6;[-1 0] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.89946683247884;0.89304625193278;0;0;0;0;1;6;[-1 0] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;not attended;not attended + irrelevant;{'P7' 'P9' 'PO7'}
4.30343014399211;0.698250861962636;0;0;0;0;1;6;[-1 0] ;RDK4;right;peri;17;blue;offset_to_bckgrd;not presented;attended;attended;{'P7' 'P9' 'PO7'}
3.5605276743571;0.314203733205795;0;0;0;0;1;6;[-1 0] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + not attended;{'P7' 'P9' 'PO7'}
3.23915444887601;1.85427737327722;3.24685637757134;25.5738766606509;0.101863336563111;0.37763476050817;1;1;[0.5 1.5] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.82679655001714;2.19016725283403;-2.85168386509949;-8.41222423784254;-0.112331478412335;-0.201164160783474;1;1;[0.5 1.5] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.63697420756022;0.602643551429113;-5.01356368923049;-23.3326326564673;-0.191966374715169;-0.183406070868174;1;1;[0.5 1.5] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;attended;attended + not attended;{'P7' 'P9' 'PO7'}
4.24572086334229;0.414077698191007;-10.6668611688289;-59.007358750048;-0.506962092717488;-0.596049206455548;1;1;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;not attended;not attended + attended;{'P7' 'P9' 'PO7'}
3.43422582944234;0.460047821203868;1.10999039037041;-32.2146061470769;0.0377010981241859;-0.218634996811549;1;1;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;not presented;irrelevant;irrelevant;{'P7' 'P9' 'PO7'}
3.11146025290856;1.57423623066682;-1.17568279261965;6.97596214710243;-0.037016094647921;0.102656822479688;1;2;[0.5 1.5] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.94261714861943;2.44863267128284;4.00573243823215;13.8323241822832;0.151848066770113;0.297545369084065;1;2;[0.5 1.5] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.9843025525411;0.437707398583492;-5.83655377229513;-25.7550022852784;-0.246959908803304;-0.151837233453989;1;2;[0.5 1.5] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;not attended;not attended + attended;{'P7' 'P9' 'PO7'}
4.35043800671895;0.883445938428243;-4.71231165242063;-18.9699184257913;-0.215144475301106;-0.20682315826416;1;2;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;attended;attended + not attended;{'P7' 'P9' 'PO7'}
3.46638698577881;1.17267373005549;4.22140085744702;292.633054405743;0.140403111775716;0.874004599452019;1;2;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;not presented;irrelevant;irrelevant;{'P7' 'P9' 'PO7'}
3.18299575585585;1.66701346383645;6.60826919635324;9.71397506152434;0.197302638567411;0.147595848257725;1;3;[0.5 1.5] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.53594622245202;2.00753165896122;-6.96149271068888;-10.775203106137;-0.264572858810425;-0.242438897261253;1;3;[0.5 1.5] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.82542290687561;1.06812219619751;-2.73218184036872;53.351245417934;-0.10745333035787;0.371602129936218;1;3;[0.5 1.5] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;attended;attended + irrelevant;{'P7' 'P9' 'PO7'}
4.53210581143697;0.622833616534869;-3.38193077825812;-0.421782502511869;-0.158637698491414;-0.00263813038667038;1;3;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;not presented;not attended;not attended;{'P7' 'P9' 'PO7'}
3.67221803665161;0.419745756189028;6.60295927837327;101.316355188389;0.227456219991048;0.211245182156563;1;3;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + attended;{'P7' 'P9' 'PO7'}
3.20810275444618;1.69474949561633;4.20716378004533;9.64243360792867;0.129520977460421;0.149043659063486;1;4;[0.5 1.5] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
4.16613070781414;2.80933212592052;6.568394482074;20.7638558258556;0.256781479028555;0.483030016147173;1;4;[0.5 1.5] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.86506846745809;0.23974777162075;0.864515903974294;-39.0370612963737;0.0331277370452878;-0.15352029701074;1;4;[0.5 1.5] ;RDK3;right;peri;20;green;offset_to_bckgrd;not presented;not attended;not attended;{'P7' 'P9' 'PO7'}
4.42877289454142;1.91386783123016;-8.16502900068911;2.61551060837311;-0.393761316935222;0.0487815300623575;1;4;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;attended;attended + irrelevant;{'P7' 'P9' 'PO7'}
3.3769015789032;0.714352629582087;-4.79021734651001;3.80537236423912;-0.169899479548136;0.0261872549851736;1;4;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + attended;{'P7' 'P9' 'PO7'}
3.11651208217327;1.81979643060611;-1.41212616961949;17.7573240810038;-0.0446394480191743;0.274417877885012;1;5;[0.5 1.5] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.54601167532114;1.91755288197444;-9.90556816833724;-19.2632916106489;-0.389871600958017;-0.457516550788513;1;5;[0.5 1.5] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.56935054461161;0.238825986286004;-3.97610196476788;-46.4861192789556;-0.147797600428263;-0.207461935778459;1;5;[0.5 1.5] ;RDK3;right;peri;20;green;offset_to_bckgrd;not presented;attended;attended;{'P7' 'P9' 'PO7'}
4.60314297676086;1.56187634468079;-2.69694478790308;-16.4340135177972;-0.127585124969483;-0.307157230377197;1;5;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;not attended;not attended + irrelevant;{'P7' 'P9' 'PO7'}
3.20548178354899;0.564178629716237;-7.44821884604537;-50.5416457198455;-0.257965103785197;-0.576535892486572;1;5;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + not attended;{'P7' 'P9' 'PO7'}
3.15347924599281;1.7176853115742;4.37981568809773;17.9855536337542;0.132321155988253;0.261841558951598;1;6;[0.5 1.5] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
4.05127610059885;2.64245235965802;6.24719922317403;16.2769110903263;0.238209845469548;0.369901141295066;1;6;[0.5 1.5] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.79043021202087;1.27326593399048;-2.79619304746476;42.5755867890164;-0.109036620457967;0.380219682057699;1;6;[0.5 1.5] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;not attended;not attended + irrelevant;{'P7' 'P9' 'PO7'}
4.19730604489644;1.12478521267573;-2.46603512883364;61.0861187502434;-0.106124099095662;0.426534350713094;1;6;[0.5 1.5] ;RDK4;right;peri;17;blue;offset_to_bckgrd;not presented;attended;attended;{'P7' 'P9' 'PO7'}
3.64276874860128;0.316991037130356;2.30980016912889;0.88710082980934;0.0822410742441813;0.0027873039245605;1;6;[0.5 1.5] ;RDK5;right;peri;23;redish;offset_to_bckgrd;presented;irrelevant;irrelevant + not attended;{'P7' 'P9' 'PO7'}
3.22327998968271;1.65920747747788;2.74086383097596;12.3635105156877;0.0859888773698074;0.182564864708827;1;1;[1 2] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;attended;attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.85706061950097;2.15712593977268;-2.08339024109415;-9.79393623615413;-0.0820674089285043;-0.234205473844821;1;1;[1 2] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;not attended;not attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.85194546381633;0.562423459688822;0.600815840481483;-28.4493696409269;0.0230048815409343;-0.223626162608465;1;1;[1 2] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;attended;attended + not attended;{'P7' 'P9' 'PO7'}
4.32021880149841;0.510128057003021;-9.09936889457268;-49.4986169899597;-0.432464154561361;-0.499998847643534;1;1;[1 2] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;not attended;not attended + attended;{'P7' 'P9' 'PO7'}
3.40314507484436;0.175145896772544;0.194915216284475;-74.1932619887594;0.00662034352620422;-0.503536921242873;1;1;[1 2] ;RDK5;right;peri;23;redish;offset_to_bckgrd;not presented;irrelevant;irrelevant;{'P7' 'P9' 'PO7'}
3.18730100851793;1.55021714178415;1.23312538115703;5.34376420052638;0.0388246609614447;0.0786377335970219;1;2;[1 2] ;RDK1;center;center;29;green;offset_to_bckgrd;presented;not attended;not attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.94033341774574;2.43849303172185;3.94548791200582;13.3609514234636;0.149564335896418;0.287405729523072;1;2;[1 2] ;RDK2;center;center;26;blue;offset_to_bckgrd;presented;attended;attended;{'P5' 'PO3' 'PO7' 'O1' 'I1' 'POz' 'Oz' 'Iz' 'P6' 'PO4' 'PO8' 'O2' 'I2'}
3.85288008054098;1.02753907044729;-8.94254100898299;74.2936861109372;-0.378382380803426;0.437994438409805;1;2;[1 2] ;RDK3;right;peri;20;green;offset_to_bckgrd;presented;not attended;not attended + attended;{'P7' 'P9' 'PO7'}
4.60869132677714;1.22566997210185;0.944213469515631;12.4190326791996;0.0431088447570795;0.135400875409444;1;2;[1 2] ;RDK4;right;peri;17;blue;offset_to_bckgrd;presented;attended;attended + not attended;{'P7' 'P9' 'PO7'}
