amplitude;eventtype;luminance;participant;trialnum;erpcomponent;electrodes;time_window
-15.853988819684;target;offset_to_bckgrd;1;210;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-15.6251683502297;distractor;offset_to_bckgrd;1;209;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-12.1449111912113;target;offset_to_bckgrd;2;145;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-16.8541874854754;distractor;offset_to_bckgrd;2;130;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-10.4661190749074;target;offset_to_bckgrd;3;220;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-6.69137228582538;distractor;offset_to_bckgrd;3;208;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-33.2845322460724;target;offset_to_bckgrd;4;179;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-30.4961690884084;distractor;offset_to_bckgrd;4;154;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-15.5936113477756;target;offset_to_bckgrd;5;164;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-14.2351531993705;distractor;offset_to_bckgrd;5;158;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-14.3881108555853;target;offset_to_bckgrd;6;164;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-15.7178299384048;distractor;offset_to_bckgrd;6;128;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-3.30150912116873;target;offset_to_bckgrd;7;218;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-6.00388186863991;distractor;offset_to_bckgrd;7;193;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-5.18865705902975;target;offset_to_bckgrd;8;167;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-5.04677473154152;distractor;offset_to_bckgrd;8;183;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-15.8140072109034;target;offset_to_bckgrd;9;169;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-10.258929347512;distractor;offset_to_bckgrd;9;148;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-13.1773099909859;target;offset_to_bckgrd;10;191;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-12.3937245811282;distractor;offset_to_bckgrd;10;189;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-3.85372869212342;target;offset_to_bckgrd;11;163;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-6.72801393453175;distractor;offset_to_bckgrd;11;147;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-17.9589787393701;target;offset_to_bckgrd;12;197;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-16.7719085340639;distractor;offset_to_bckgrd;12;164;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-21.5881369174503;target;offset_to_bckgrd;13;136;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-14.7275929464242;distractor;offset_to_bckgrd;13;128;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-3.74076690262434;target;offset_to_bckgrd;15;182;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-1.89742818997743;distractor;offset_to_bckgrd;15;187;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-9.23341738476525;target;offset_to_bckgrd;16;213;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-10.4918961013631;distractor;offset_to_bckgrd;16;176;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-5.31407419991984;target;offset_to_bckgrd;17;185;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-6.72809260206011;distractor;offset_to_bckgrd;17;179;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-24.743160389507;target;offset_to_bckgrd;18;156;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-13.4001670992987;distractor;offset_to_bckgrd;18;135;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-12.8617321361806;target;offset_to_bckgrd;19;185;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-10.1165491470736;distractor;offset_to_bckgrd;19;160;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-7.32863043983112;target;offset_to_bckgrd;20;139;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-2.64913560575447;distractor;offset_to_bckgrd;20;132;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-7.49871745842616;target;offset_to_bckgrd;21;200;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-9.55508855798129;distractor;offset_to_bckgrd;21;176;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
0.618147456194632;target;isolum__to_bckgrd;22;219;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
0.842587269135178;distractor;isolum__to_bckgrd;22;208;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-15.0103015114403;target;isolum__to_bckgrd;23;183;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-13.6728712655246;distractor;isolum__to_bckgrd;23;128;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
2.83856642557657;target;isolum__to_bckgrd;24;173;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
4.88054240304225;distractor;isolum__to_bckgrd;24;171;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-13.3458890995333;target;isolum__to_bckgrd;25;150;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-10.0756894003761;distractor;isolum__to_bckgrd;25;151;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-20.6043721004899;target;isolum__to_bckgrd;26;189;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-20.8395184042523;distractor;isolum__to_bckgrd;26;142;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-16.9514164552809;target;isolum__to_bckgrd;27;137;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-15.7820542486958;distractor;isolum__to_bckgrd;27;143;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-5.52923457006601;target;isolum__to_bckgrd;28;168;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-3.43853689295849;distractor;isolum__to_bckgrd;28;142;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-3.40662732195834;target;isolum__to_bckgrd;29;213;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-0.669638841706239;distractor;isolum__to_bckgrd;29;195;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-1.20761546996856;target;isolum__to_bckgrd;30;129;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-4.76089849508851;distractor;isolum__to_bckgrd;30;123;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-9.90133073520309;target;isolum__to_bckgrd;31;193;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-0.732555592629629;distractor;isolum__to_bckgrd;31;196;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-19.126245374863;target;isolum__to_bckgrd;32;173;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-12.3756628080681;distractor;isolum__to_bckgrd;32;150;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
1.45999470621777;target;isolum__to_bckgrd;33;165;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
1.87795243028757;distractor;isolum__to_bckgrd;33;143;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
2.19005143357656;target;isolum__to_bckgrd;34;149;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
5.59985370594166;distractor;isolum__to_bckgrd;34;125;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-11.4472177268964;target;isolum__to_bckgrd;35;184;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-14.2528351358711;distractor;isolum__to_bckgrd;35;172;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-6.93103911969453;target;isolum__to_bckgrd;36;161;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-5.12653604291308;distractor;isolum__to_bckgrd;36;151;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-11.7278831079602;target;isolum__to_bckgrd;37;183;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-8.81984164557294;distractor;isolum__to_bckgrd;37;171;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-2.81734302425488;target;isolum__to_bckgrd;38;197;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-4.65880396827393;distractor;isolum__to_bckgrd;38;176;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-7.84821405955769;target;isolum__to_bckgrd;39;176;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-11.3483616815916;distractor;isolum__to_bckgrd;39;151;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
0.35490377921423;target;isolum__to_bckgrd;40;212;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
