amplitude;eventtype;luminance;participant;trialnum;erpcomponent;electrodes;time_window
-2.51319089955471;distractor;isolum__to_bckgrd;40;163;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-21.9298356763768;target;isolum__to_bckgrd;41;171;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-23.8385908322839;distractor;isolum__to_bckgrd;41;121;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-9.06465689981661;target;isolum__to_bckgrd;43;208;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-7.88117524030475;distractor;isolum__to_bckgrd;43;175;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-4.82606312636367;target;isolum__to_bckgrd;44;155;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-9.65119027623083;distractor;isolum__to_bckgrd;44;134;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-10.5817106877355;target;isolum__to_bckgrd;45;137;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-6.75508998041131;distractor;isolum__to_bckgrd;45;139;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-5.5933128945628;target;isolum__to_bckgrd;46;206;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-5.24640058652529;distractor;isolum__to_bckgrd;46;199;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-16.3427452184618;target;isolum__to_bckgrd;47;215;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-11.876809402754;distractor;isolum__to_bckgrd;47;207;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-20.5272223788242;target;isolum__to_bckgrd;48;206;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-20.0566119740789;distractor;isolum__to_bckgrd;48;177;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-19.9809531130864;target;isolum__to_bckgrd;49;217;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-18.9837213369409;distractor;isolum__to_bckgrd;49;137;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-18.9383964257745;target;isolum__to_bckgrd;50;203;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-13.6466872503336;distractor;isolum__to_bckgrd;50;201;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-6.82799370148692;target;isolum__to_bckgrd;51;179;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-4.70788712453885;distractor;isolum__to_bckgrd;51;134;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-18.2275961110315;target;isolum__to_bckgrd;52;165;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
-17.1771649726165;distractor;isolum__to_bckgrd;52;138;N2;'P6','P8','PO8','P10','P5','P7','PO7','P9';[230 430]ms
