amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subtraction_induced;subtraction_evoked;subjects;condition;time;RDK_id;RDK_position1;RDK_position2;RDK_freq;RDK_color;RDK_colorlum;RDK_ispresented;RDK_isattended;RDK_isattended2;RDK_electrodes
1.98363580107689;0.438214119523764;0.309027005654428;21.2524737870693;0.00611108541488647;0.00611108541488647;37;2;[0.5 1.5] ;RDK1;center;center;26;redish;isolum__to_bckgrd;presented;not attended;not attended;{'Oz' 'Iz' 'O1' 'O2'}
2.5088730931282;1.25560677051544;1.88835968780301;10.3134339552559;0.0464984893798825;0.0464984893798825;37;2;[0.5 1.5] ;RDK2;center;center;23;blue;isolum__to_bckgrd;presented;attended;attended;{'Oz' 'Iz' 'O1' 'O2'}
2.59213227544512;0.299971300789288;-0.449980065361499;-39.7874307003076;-0.0117168017796105;-0.0117168017796105;37;2;[0.5 1.5] ;RDK3;left;peri;20;redish;isolum__to_bckgrd;presented;not attended;not attended + attended;{'P8' 'P10' 'PO8' 'PO3' 'POz' 'Oz' 'O1'}
3.01899264199393;1.16689783334732;-6.45590370992858;51.7229078053339;-0.208354418618339;-0.208354418618339;37;2;[0.5 1.5] ;RDK4;left;peri;17;blue;isolum__to_bckgrd;presented;attended;attended + not attended;{'P8' 'P10' 'PO8' 'PO3' 'POz' 'Oz' 'O1'}
3.51024083409991;0.290840846220297;-13.7167327348251;-52.0810837823276;-0.558034447261266;-0.558034447261266;37;2;[0.5 1.5] ;RDK5;left;peri;14;green;isolum__to_bckgrd;not presented;irrelevant;irrelevant;{'P8' 'P10' 'PO8' 'PO3' 'POz' 'Oz' 'O1'}
2.04975583553314;0.697610794007778;1.2959915830048;71.3425403552193;0.0262247920036316;0.0262247920036316;37;3;[0.5 1.5] ;RDK1;center;center;26;redish;isolum__to_bckgrd;presented;attended;attended;{'Oz' 'Iz' 'O1' 'O2'}
2.43228439092636;1.07304095029831;-0.132114422672724;25.6605770452223;-0.0032176494598386;-0.0032176494598386;37;3;[0.5 1.5] ;RDK2;center;center;23;blue;isolum__to_bckgrd;presented;not attended;not attended;{'Oz' 'Iz' 'O1' 'O2'}
2.52248729978289;0.662670700890677;-4.24689731674105;-16.5308420149968;-0.111878824234009;-0.111878824234009;37;3;[0.5 1.5] ;RDK3;left;peri;20;redish;isolum__to_bckgrd;presented;attended;attended + irrelevant;{'P8' 'P10' 'PO8' 'PO3' 'POz' 'Oz' 'O1'}
2.82654043606349;0.231664553284645;-8.41567324287872;-32.9467490543477;-0.259730475289481;-0.259730475289481;37;3;[0.5 1.5] ;RDK4;left;peri;17;blue;isolum__to_bckgrd;not presented;not attended;not attended;{'P8' 'P10' 'PO8' 'PO3' 'POz' 'Oz' 'O1'}
3.36041603769575;0.496614128670522;-14.8319049937524;-15.5954160476232;-0.585211767469134;-0.585211767469134;37;3;[0.5 1.5] ;RDK5;left;peri;14;green;isolum__to_bckgrd;presented;irrelevant;irrelevant + attended;{'P8' 'P10' 'PO8' 'PO3' 'POz' 'Oz' 'O1'}
1.97451603412628;0.344525823742151;-3.68644910786432;-43.7459778104564;-0.0755755841732024;-0.0755755841732024;37;4;[0.5 1.5] ;RDK1;center;center;26;redish;isolum__to_bckgrd;presented;not attended;not attended;{'Oz' 'Iz' 'O1' 'O2'}
2.64429392814636;1.62731521129608;12.0115245610567;70.734759274039;0.283560121059418;0.283560121059418;37;4;[0.5 1.5] ;RDK2;center;center;23;blue;isolum__to_bckgrd;presented;attended;attended;{'Oz' 'Iz' 'O1' 'O2'}
2.57517445428031;0.181648362906916;-1.40896977131554;-25.502627701074;-0.0368019580841068;-0.0368019580841068;37;4;[0.5 1.5] ;RDK3;left;peri;20;redish;isolum__to_bckgrd;not presented;not attended;not attended;{'P8' 'P10' 'PO8' 'PO3' 'POz' 'Oz' 'O1'}
3.00580227034433;0.926481378078461;-8.73896347391845;-20.2480698339936;-0.287829256057739;-0.287829256057739;37;4;[0.5 1.5] ;RDK4;left;peri;17;blue;isolum__to_bckgrd;presented;attended;attended + irrelevant;{'P8' 'P10' 'PO8' 'PO3' 'POz' 'Oz' 'O1'}
3.14419389452253;0.531319093278476;-22.6337369704479;-36.4128210076537;-0.919843544278826;-0.919843544278826;37;4;[0.5 1.5] ;RDK5;left;peri;14;green;isolum__to_bckgrd;presented;irrelevant;irrelevant + attended;{'P8' 'P10' 'PO8' 'PO3' 'POz' 'Oz' 'O1'}
2.02899537086487;0.516565621644258;2.96387122547466;2.39887412710211;0.0584057390689852;0.0584057390689852;37;5;[0.5 1.5] ;RDK1;center;center;26;redish;isolum__to_bckgrd;presented;attended;attended;{'Oz' 'Iz' 'O1' 'O2'}
2.26313232183456;0.785481463372707;-3.05324476236846;-16.4229759896345;-0.0712751746177673;-0.0712751746177673;37;5;[0.5 1.5] ;RDK2;center;center;23;blue;isolum__to_bckgrd;presented;not attended;not attended;{'Oz' 'Iz' 'O1' 'O2'}
