amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subjects;condition;time;RDK_id;RDK_position1;RDK_position2;RDK_freq;RDK_color;RDK_ispresented;RDK_isattended;RDK_isattended2;RDK_electrodes
3.01999516487122;1.48834052562714;0;0;1;1;[-1 0] ;RDK1;center;center;29;green;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.87304229736328;2.23748234152794;0;0;1;1;[-1 0] ;RDK2;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.52650113105774;0.764277720993215;0;0;1;1;[-1 0] ;RDK3;right;peri;20;green;presented;attended;attended + not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
4.27472319169478;1.09189171357588;0;0;1;1;[-1 0] ;RDK4;right;peri;17;blue;presented;not attended;not attended + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.06310260512612;0.546147331324491;0;0;1;1;[-1 0] ;RDK5;right;peri;23;redish;not presented;irrelevant;irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.93808457374573;1.24342388868332;0;0;1;2;[-1 0] ;RDK1;center;center;29;green;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.84948287963867;2.16692781150341;0;0;1;2;[-1 0] ;RDK2;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.81867140423168;0.391634169085459;0;0;1;2;[-1 0] ;RDK3;right;peri;20;green;presented;not attended;not attended + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
4.27552643255754;0.895421343499964;0;0;1;2;[-1 0] ;RDK4;right;peri;17;blue;presented;attended;attended + not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.11402401057157;0.321250544894825;0;0;1;2;[-1 0] ;RDK5;right;peri;23;redish;not presented;irrelevant;irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.85732046127319;1.27687939882278;0;0;1;3;[-1 0] ;RDK1;center;center;29;green;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.8861655330658;2.18189516544342;0;0;1;3;[-1 0] ;RDK2;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.5869065544822;0.689596510746262;0;0;1;3;[-1 0] ;RDK3;right;peri;20;green;presented;attended;attended + irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
4.14596966830167;0.471364313093099;0;0;1;3;[-1 0] ;RDK4;right;peri;17;blue;not presented;not attended;not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.1981492432681;0.331161650879817;0;0;1;3;[-1 0] ;RDK5;right;peri;23;redish;presented;irrelevant;irrelevant + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.93828997612;1.51932351350784;0;0;1;4;[-1 0] ;RDK1;center;center;29;green;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.98635947227478;2.33583371520042;0;0;1;4;[-1 0] ;RDK2;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.46007021123713;0.386919469860467;0;0;1;4;[-1 0] ;RDK3;right;peri;20;green;not presented;not attended;not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
4.43004285205494;1.35392622426152;0;0;1;4;[-1 0] ;RDK4;right;peri;17;blue;presented;attended;attended + irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.17573310245167;0.53691790970889;0;0;1;4;[-1 0] ;RDK5;right;peri;23;redish;presented;irrelevant;irrelevant + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.92848336219788;1.36173504114151;0;0;1;5;[-1 0] ;RDK1;center;center;29;green;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
4.04439898490906;2.29374292314053;0;0;1;5;[-1 0] ;RDK2;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.3591025872664;0.261969255994667;0;0;1;5;[-1 0] ;RDK3;right;peri;20;green;not presented;attended;attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
4.36763492064043;1.37796577946706;0;0;1;5;[-1 0] ;RDK4;right;peri;17;blue;presented;not attended;not attended + irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.14728717803955;0.790765584598888;0;0;1;5;[-1 0] ;RDK5;right;peri;23;redish;presented;irrelevant;irrelevant + not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.83635864257813;1.3921261382103;0;0;1;6;[-1 0] ;RDK1;center;center;29;green;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.73246290206909;2.29936091661453;0;0;1;6;[-1 0] ;RDK2;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.59971545392817;0.75389388366179;0;0;1;6;[-1 0] ;RDK3;right;peri;20;green;presented;not attended;not attended + irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
4.04553006345575;0.547512689232826;0;0;1;6;[-1 0] ;RDK4;right;peri;17;blue;not presented;attended;attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.21438582160256;0.304791404713284;0;0;1;6;[-1 0] ;RDK5;right;peri;23;redish;presented;irrelevant;irrelevant + not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.1778978061676;1.95994351863861;5.22857265247045;31.6864981428062;1;1;[0.5 1.5] ;RDK1;center;center;29;green;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.76426947593689;2.21666490077972;-2.80845942478973;-0.930395756062086;1;1;[0.5 1.5] ;RDK2;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.37640860297463;0.490575580840761;-4.25613157362263;-35.8118695121409;1;1;[0.5 1.5] ;RDK3;right;peri;20;green;presented;attended;attended + not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.98299755616622;0.957190541516651;-6.82443335969329;-12.3364954953357;1;1;[0.5 1.5] ;RDK4;right;peri;17;blue;presented;not attended;not attended + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.14360089735551;0.38993886966597;2.62799855593077;-28.6018904971469;1;1;[0.5 1.5] ;RDK5;right;peri;23;redish;not presented;irrelevant;irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.06900808334351;1.62190431118011;4.45608376177087;30.4385677275008;1;2;[0.5 1.5] ;RDK1;center;center;29;green;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.81010752677917;2.34261927247047;-1.02287382722931;8.10785943280543;1;2;[0.5 1.5] ;RDK2;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.35597363385287;0.526277671144767;-12.1167212729031;34.3799169448688;1;2;[0.5 1.5] ;RDK3;right;peri;20;green;presented;not attended;not attended + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.8851552659815;0.659935557571324;-9.13036494414854;-26.2988801459867;1;2;[0.5 1.5] ;RDK4;right;peri;17;blue;presented;attended;attended + not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.99818599224091;0.658031826398589;-3.71988198990794;104.834462339674;1;2;[0.5 1.5] ;RDK5;right;peri;23;redish;not presented;irrelevant;irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.03727766036987;1.67759651184082;6.29811046873239;31.3825341208791;1;3;[0.5 1.5] ;RDK1;center;center;29;green;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.63231513977051;2.26225419521332;-6.53215595515371;3.68299224649351;1;3;[0.5 1.5] ;RDK2;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.48451437516646;0.840711404518648;-2.85460961306034;21.9135235485535;1;3;[0.5 1.5] ;RDK3;right;peri;20;green;presented;attended;attended + irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
4.03765985315496;0.367785668914968;-2.61241214509594;-21.9742227616779;1;3;[0.5 1.5] ;RDK4;right;peri;17;blue;not presented;not attended;not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.14592461585999;0.427505176717585;-1.63296405000624;29.092597401241;1;3;[0.5 1.5] ;RDK5;right;peri;23;redish;presented;irrelevant;irrelevant + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.12355346679688;1.81235888004303;6.3051466050849;19.2872264484751;1;4;[0.5 1.5] ;RDK1;center;center;29;green;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
4.12432789802551;2.6888486623764;3.46101315524368;15.1130170302251;1;4;[0.5 1.5] ;RDK2;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.37299361662431;0.278222738477317;-2.51661351639687;-28.0928564857047;1;4;[0.5 1.5] ;RDK3;right;peri;20;green;not presented;not attended;not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
4.01752100424333;1.189236246659;-9.31191551838505;-12.1638812109096;1;4;[0.5 1.5] ;RDK4;right;peri;17;blue;presented;attended;attended + irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.10609894232316;0.724549064852975;-2.19269560388273;34.9459669255242;1;4;[0.5 1.5] ;RDK5;right;peri;23;redish;presented;irrelevant;irrelevant + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.97849843978882;1.82387239933014;1.70788327625686;33.9373919467645;1;5;[0.5 1.5] ;RDK1;center;center;29;green;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.5951393032074;2.01037454843521;-11.1081939091072;-12.353972707514;1;5;[0.5 1.5] ;RDK2;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.18524225408381;0.25266612788493;-5.17579706680171;-3.55122896937429;1;5;[0.5 1.5] ;RDK3;right;peri;20;green;not presented;attended;attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
4.089126292142;1.088095470992;-6.3766462526952;-21.0361035661691;1;5;[0.5 1.5] ;RDK4;right;peri;17;blue;presented;not attended;not attended + irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.01215696768327;0.62606684457172;-4.29354560648805;-20.8277577116245;1;5;[0.5 1.5] ;RDK5;right;peri;23;redish;presented;irrelevant;irrelevant + not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.09292798042297;1.74641940116882;9.04572976045224;25.4497960518148;1;6;[0.5 1.5] ;RDK1;center;center;29;green;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
4.02082949638367;2.57799024939537;7.72590650947176;12.1176858651263;1;6;[0.5 1.5] ;RDK2;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.4084775577892;0.872229350019585;-5.3125836913105;15.6965680346177;1;6;[0.5 1.5] ;RDK3;right;peri;20;green;presented;not attended;not attended + irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.78303555575284;0.756645899469202;-6.48850715692586;38.1969613397295;1;6;[0.5 1.5] ;RDK4;right;peri;17;blue;not presented;attended;attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.17768067013134;0.439243253523653;-1.14190248179121;44.1127429222775;1;6;[0.5 1.5] ;RDK5;right;peri;23;redish;presented;irrelevant;irrelevant + not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.13063723564148;1.62664521217346;3.66365059312874;9.29254321607944;1;1;[1 2] ;RDK1;center;center;29;green;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.87272373199463;2.27292157649994;-0.00822519725305337;1.58388892346741;1;1;[1 2] ;RDK2;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.58383152701638;0.509564486924898;1.62570190191444;-33.327313759363;1;1;[1 2] ;RDK3;right;peri;20;green;presented;attended;attended + not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
4.12436109456149;0.979487523707476;-3.51746979606593;-10.2944448126902;1;1;[1 2] ;RDK4;right;peri;17;blue;presented;not attended;not attended + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.18756717768582;0.24730988077142;4.06334976671729;-54.717368997912;1;1;[1 2] ;RDK5;right;peri;23;redish;not presented;irrelevant;irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
2.99989861488342;1.53256399154663;2.10388910142532;23.2535425364464;1;2;[1 2] ;RDK1;center;center;29;green;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.87535232543945;2.30099561214447;0.672023921384723;6.18699893597487;1;2;[1 2] ;RDK2;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.45018160559914;0.804062290625139;-9.64968596732863;105.30953478926;1;2;[1 2] ;RDK3;right;peri;20;green;presented;not attended;not attended + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
4.27133097215132;1.0277491309426;-0.0981273410981309;14.7782704090352;1;2;[1 2] ;RDK4;right;peri;17;blue;presented;attended;attended + not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.08026794086803;0.552492183582349;-1.08400158730119;71.9817109612158;1;2;[1 2] ;RDK5;right;peri;23;redish;not presented;irrelevant;irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.08225459098816;1.70166480779648;7.87220519236884;33.2674651470862;1;3;[1 2] ;RDK1;center;center;29;green;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.64201714515686;2.29283289909363;-6.2825009853949;5.08446672448912;1;3;[1 2] ;RDK2;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.49520173072815;0.851896317438646;-2.55665494378314;23.5354738841047;1;3;[1 2] ;RDK3;right;peri;20;green;presented;attended;attended + irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
4.15383763313293;0.585629696737636;0.189773815554428;24.2414159219493;1;3;[1 2] ;RDK4;right;peri;17;blue;not presented;not attended;not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.00938951752403;0.387970528887077;-5.90215500860073;17.1544252954208;1;3;[1 2] ;RDK5;right;peri;23;redish;presented;irrelevant;irrelevant + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.02503705978394;1.66680526971817;2.95229825405079;9.70706731641495;1;4;[1 2] ;RDK1;center;center;29;green;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
4.12689869880676;2.61859908342361;3.52550309397424;12.1055435745745;1;4;[1 2] ;RDK2;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.43987701155923;0.331690622019497;-0.583606645099877;-14.2739903631335;1;4;[1 2] ;RDK3;right;peri;20;green;not presented;not attended;not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
4.18930863033641;0.983892516656355;-5.43412851202691;-27.3304188200502;1;4;[1 2] ;RDK4;right;peri;17;blue;presented;attended;attended + irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.17106055779891;0.632765456356785;-0.147132787990212;17.8514340674281;1;4;[1 2] ;RDK5;right;peri;23;redish;presented;irrelevant;irrelevant + attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.10908296585083;1.89335783958435;6.16700118512576;39.0401056285659;1;5;[1 2] ;RDK1;center;center;29;green;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
3.56148129463196;1.95417716741562;-11.940406771909;-14.8040023273394;1;5;[1 2] ;RDK2;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
3.52388360283592;0.31476544981653;4.90550708972572;20.1535839086929;1;5;[1 2] ;RDK3;right;peri;20;green;not presented;attended;attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
4.31919809254733;1.27420234368606;-1.10899443230005;-7.53018959738849;1;5;[1 2] ;RDK4;right;peri;17;blue;presented;not attended;not attended + irrelevant;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.15323266549544;0.539727351340381;0.188908323885206;-31.746226460506;1;5;[1 2] ;RDK5;right;peri;23;redish;presented;irrelevant;irrelevant + not attended;{'P5','P7','P9','PO3','PO7','O1','I1','POz','Oz','Iz','O2'}
3.11827988624573;1.79777568817139;9.93954852660481;29.13885019662;1;6;[1 2] ;RDK1;center;center;29;green;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
4.05813755989075;2.3560608291626;8.72546268687944;2.46589876945231;1;6;[1 2] ;RDK2;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
